step,phase,fr,max_fr,avg_threshold,avg_weight_pattern,avg_weight_noise
21100,TRAINING,0.0000,0.0714,0.0052,0.1509,0.2306
21200,TRAINING,0.0000,0.0714,0.0052,0.1503,0.2298
21300,TRAINING,0.0000,0.0714,0.0052,0.1498,0.2291
21400,TRAINING,0.0000,0.0714,0.0052,0.1524,0.2329
21500,TRAINING,0.0000,0.0714,0.0052,0.1520,0.2324
21600,TRAINING,0.0000,0.0714,0.0052,0.1517,0.2319
21700,TRAINING,0.0000,0.0714,0.0052,0.1514,0.2315
21800,TRAINING,0.0000,0.0714,0.0052,0.1512,0.2312
21900,TRAINING,0.0000,0.0714,0.0052,0.1510,0.2309
22000,TRAINING,0.0000,0.0714,0.0052,0.1509,0.2306
22100,TRAINING,0.0000,0.0714,0.0052,0.1503,0.2298
22200,TRAINING,0.0000,0.0714,0.0052,0.1498,0.2291
22300,TRAINING,0.0000,0.0714,0.0052,0.1524,0.2329
22400,TRAINING,0.0000,0.0714,0.0052,0.1520,0.2324
22500,TRAINING,0.0000,0.0714,0.0052,0.1517,0.2319
22600,TRAINING,0.0000,0.0714,0.0052,0.1514,0.2315
22700,TRAINING,0.0000,0.0714,0.0052,0.1512,0.2312
22800,TRAINING,0.0000,0.0714,0.0052,0.1510,0.2309
22900,TRAINING,0.0000,0.0714,0.0052,0.1509,0.2306
23000,TRAINING,0.0000,0.0714,0.0052,0.1503,0.2298
23100,TRAINING,0.0000,0.0714,0.0052,0.1498,0.2291
23200,TRAINING,0.0000,0.0714,0.0052,0.1524,0.2329
23300,TRAINING,0.0000,0.0714,0.0052,0.1520,0.2324
23400,TRAINING,0.0000,0.0714,0.0052,0.1517,0.2319
23500,TRAINING,0.0000,0.0714,0.0052,0.1514,0.2315
23600,TRAINING,0.0000,0.0714,0.0052,0.1512,0.2312
23700,TRAINING,0.0000,0.0714,0.0052,0.1510,0.2309
23800,TRAINING,0.0000,0.0714,0.0052,0.1509,0.2306
23900,TRAINING,0.0000,0.0714,0.0052,0.1503,0.2298
24000,TRAINING,0.0000,0.0714,0.0052,0.1498,0.2291
24100,TRAINING,0.0000,0.0714,0.0052,0.1524,0.2329
24200,TRAINING,0.0000,0.0714,0.0052,0.1520,0.2324
24300,TRAINING,0.0000,0.0714,0.0052,0.1517,0.2319
24400,TRAINING,0.0000,0.0714,0.0052,0.1514,0.2315
24500,TRAINING,0.0000,0.0714,0.0052,0.1512,0.2312
24600,TRAINING,0.0000,0.0714,0.0052,0.1510,0.2309
24700,TRAINING,0.0000,0.0714,0.0052,0.1509,0.2306
24800,TRAINING,0.0000,0.0714,0.0052,0.1503,0.2298
24900,TRAINING,0.0000,0.0714,0.0052,0.1498,0.2291
25000,TRAINING,0.0000,0.0714,0.0052,0.1524,0.2329
25100,TRAINING,0.0000,0.0714,0.0052,0.1520,0.2324
25200,TRAINING,0.0000,0.0714,0.0052,0.1517,0.2319
25300,TRAINING,0.0000,0.0714,0.0052,0.1514,0.2315
25400,TRAINING,0.0000,0.0714,0.0052,0.1512,0.2312
25500,TRAINING,0.0000,0.0714,0.0052,0.1510,0.2309
25600,TRAINING,0.0000,0.0714,0.0052,0.1509,0.2306
25700,TRAINING,0.0000,0.0714,0.0052,0.1503,0.2298
25800,TRAINING,0.0000,0.0714,0.0052,0.1498,0.2291
25900,TRAINING,0.0000,0.0714,0.0052,0.1524,0.2329
26000,TRAINING,0.0000,0.0714,0.0052,0.1520,0.2324
26100,TRAINING,0.0000,0.0714,0.0052,0.1517,0.2319
26200,TRAINING,0.0000,0.0714,0.0052,0.1514,0.2315
26300,TRAINING,0.0000,0.0714,0.0052,0.1512,0.2312
26400,TRAINING,0.0000,0.0714,0.0052,0.1510,0.2309
26500,TRAINING,0.0000,0.0714,0.0052,0.1509,0.2306
26600,TRAINING,0.0000,0.0714,0.0052,0.1503,0.2298
26700,TRAINING,0.0000,0.0714,0.0052,0.1498,0.2291
26800,TRAINING,0.0000,0.0714,0.0052,0.1524,0.2329
26900,TRAINING,0.0000,0.0714,0.0052,0.1520,0.2324
27000,TRAINING,0.0000,0.0714,0.0052,0.1517,0.2319
27100,TRAINING,0.0000,0.0714,0.0052,0.1514,0.2315
27200,TRAINING,0.0000,0.0714,0.0052,0.1512,0.2312
27300,TRAINING,0.0000,0.0714,0.0052,0.1510,0.2309
27400,TRAINING,0.0000,0.0714,0.0052,0.1509,0.2306
27500,TRAINING,0.0000,0.0714,0.0052,0.1503,0.2298
27600,TRAINING,0.0000,0.0714,0.0052,0.1498,0.2291
27700,TRAINING,0.0000,0.0714,0.0052,0.1524,0.2329
27800,TRAINING,0.0000,0.0714,0.0052,0.1520,0.2324
27900,TRAINING,0.0000,0.0714,0.0052,0.1517,0.2319
28000,TRAINING,0.0000,0.0714,0.0052,0.1514,0.2315
28100,TRAINING,0.0000,0.0714,0.0052,0.1512,0.2312
28200,TRAINING,0.0000,0.0714,0.0052,0.1510,0.2309
28300,TRAINING,0.0000,0.0714,0.0052,0.1509,0.2306
28400,TRAINING,0.0000,0.0714,0.0052,0.1503,0.2298
28500,TRAINING,0.0000,0.0714,0.0052,0.1498,0.2291
28600,TRAINING,0.0000,0.0714,0.0052,0.1524,0.2329
28700,TRAINING,0.0000,0.0714,0.0052,0.1520,0.2324
28800,TRAINING,0.0000,0.0714,0.0052,0.1517,0.2319
28900,TRAINING,0.0000,0.0714,0.0052,0.1514,0.2315
29000,TRAINING,0.0000,0.0714,0.0052,0.1512,0.2312
29100,TRAINING,0.0000,0.0714,0.0052,0.1510,0.2309
29200,TRAINING,0.0000,0.0714,0.0052,0.1509,0.2306
29300,TRAINING,0.0000,0.0714,0.0052,0.1503,0.2298
29400,TRAINING,0.0000,0.0714,0.0052,0.1498,0.2291
29500,TRAINING,0.0000,0.0714,0.0052,0.1524,0.2329
29600,TRAINING,0.0000,0.0714,0.0052,0.1520,0.2324
29700,TRAINING,0.0000,0.0714,0.0052,0.1517,0.2319
29800,TRAINING,0.0000,0.0714,0.0052,0.1514,0.2315
29900,TRAINING,0.0000,0.0714,0.0052,0.1512,0.2312
30000,TRAINING,0.0000,0.0714,0.0052,0.1510,0.2309
30100,TRAINING,0.0000,0.0714,0.0052,0.1509,0.2306
30200,TRAINING,0.0000,0.0714,0.0052,0.1503,0.2298
30300,TRAINING,0.0000,0.0714,0.0052,0.1498,0.2291
30400,TRAINING,0.0000,0.0714,0.0052,0.1524,0.2329
30500,TRAINING,0.0000,0.0714,0.0052,0.1520,0.2324
30600,TRAINING,0.0000,0.0714,0.0052,0.1517,0.2319
30700,TRAINING,0.0000,0.0714,0.0052,0.1514,0.2315
30800,TRAINING,0.0000,0.0714,0.0052,0.1512,0.2312
30900,TRAINING,0.0000,0.0714,0.0052,0.1510,0.2309
31000,TRAINING,0.0000,0.0714,0.0052,0.1509,0.2306
31100,TRAINING,0.0000,0.0714,0.0052,0.1503,0.2298
31200,TRAINING,0.0000,0.0714,0.0052,0.1498,0.2291
31300,TRAINING,0.0000,0.0714,0.0052,0.1524,0.2329
31400,TRAINING,0.0000,0.0714,0.0052,0.1520,0.2324
31500,TRAINING,0.0000,0.0714,0.0052,0.1517,0.2319
31600,TRAINING,0.0000,0.0714,0.0052,0.1514,0.2315
31700,TRAINING,0.0000,0.0714,0.0052,0.1512,0.2312
31800,TRAINING,0.0000,0.0714,0.0052,0.1510,0.2309
31900,TRAINING,0.0000,0.0714,0.0052,0.1509,0.2306
32000,TRAINING,0.0000,0.0714,0.0052,0.1503,0.2298
32100,TRAINING,0.0000,0.0714,0.0052,0.1498,0.2291
32200,TRAINING,0.0000,0.0714,0.0052,0.1524,0.2329
32300,TRAINING,0.0000,0.0714,0.0052,0.1520,0.2324
32400,TRAINING,0.0000,0.0714,0.0052,0.1517,0.2319
32500,TRAINING,0.0000,0.0714,0.0052,0.1514,0.2315
32600,TRAINING,0.0000,0.0714,0.0052,0.1512,0.2312
32700,TRAINING,0.0000,0.0714,0.0052,0.1510,0.2309
32800,TRAINING,0.0000,0.0714,0.0052,0.1509,0.2306
32900,TRAINING,0.0000,0.0714,0.0052,0.1503,0.2298
33000,TRAINING,0.0000,0.0714,0.0052,0.1498,0.2291
33100,TRAINING,0.0000,0.0714,0.0052,0.1524,0.2329
33200,TRAINING,0.0000,0.0714,0.0052,0.1520,0.2324
33300,TRAINING,0.0000,0.0714,0.0052,0.1517,0.2319
33400,TRAINING,0.0000,0.0714,0.0052,0.1514,0.2315
33500,TRAINING,0.0000,0.0714,0.0052,0.1512,0.2312
33600,TRAINING,0.0000,0.0714,0.0052,0.1510,0.2309
33700,TRAINING,0.0000,0.0714,0.0052,0.1509,0.2306
33800,TRAINING,0.0000,0.0714,0.0052,0.1503,0.2298
33900,TRAINING,0.0000,0.0714,0.0052,0.1498,0.2291
34000,TRAINING,0.0000,0.0714,0.0052,0.1524,0.2329
34100,TRAINING,0.0000,0.0714,0.0052,0.1520,0.2324
34200,TRAINING,0.0000,0.0714,0.0052,0.1517,0.2319
34300,TRAINING,0.0000,0.0714,0.0052,0.1514,0.2315
34400,TRAINING,0.0000,0.0714,0.0052,0.1512,0.2312
34500,TRAINING,0.0000,0.0714,0.0052,0.1510,0.2309
34600,TRAINING,0.0000,0.0714,0.0052,0.1509,0.2306
34700,TRAINING,0.0000,0.0714,0.0052,0.1503,0.2298
34800,TRAINING,0.0000,0.0714,0.0052,0.1498,0.2291
34900,TRAINING,0.0000,0.0714,0.0052,0.1524,0.2329
35000,TRAINING,0.0000,0.0714,0.0052,0.1520,0.2324
35100,TRAINING,0.0000,0.0714,0.0052,0.1517,0.2319
35200,TRAINING,0.0000,0.0714,0.0052,0.1514,0.2315
35300,TRAINING,0.0000,0.0714,0.0052,0.1512,0.2312
